Date,AAPL,MSFT,TSLA,BND,AGG,TLT,BTC-USD,ETH-USD
2020-01-02,72.53850555419922,152.79110717773438,28.68400001525879,71.32029724121094,96.30934143066406,117.1333236694336,6985.47021484375,127.4101791381836
2020-01-03,71.83329010009766,150.8885955810547,29.534000396728516,71.5750961303711,96.59142303466797,118.93722534179688,7344.88427734375,134.1717071533203
2020-01-06,72.40569305419922,151.27857971191406,30.1026668548584,71.49016571044922,96.51448059082031,118.26182556152344,7769.21923828125,144.3041534423828
2020-01-07,72.06515502929688,149.8992919921875,31.270666122436523,71.43070983886719,96.41189575195312,117.68045043945312,8163.6923828125,143.5439910888672
2020-01-08,73.22441101074219,152.28701782226562,32.80933380126953,71.32029724121094,96.3008041381836,116.90250396728516,8079.86279296875,141.2581329345703
2020-01-09,74.77973937988281,154.1895294189453,32.089332580566406,71.40524291992188,96.40336608886719,117.3128433227539,7879.0712890625,138.9792022705078
2020-01-10,74.94882202148438,153.4760284423828,31.876667022705078,71.52413177490234,96.56572723388672,118.35584259033203,8166.55419921875,143.96377563476562
2020-01-13,76.550048828125,155.32150268554688,34.990665435791016,71.48164367675781,96.50589752197266,117.99684143066406,8144.1943359375,144.22659301757812
2020-01-14,75.51637268066406,154.22755432128906,35.861331939697266,71.58358764648438,96.59142303466797,118.60382843017578,8827.7646484375,165.95535278320312
2020-01-15,75.19274139404297,155.226318359375,34.56666564941406,71.69400787353516,96.7366943359375,119.39028930664062,8807.0107421875,166.23068237304688
2020-01-16,76.13463592529297,158.0706024169922,34.232666015625,71.65152740478516,96.7366943359375,119.01415252685547,8723.7861328125,164.39100646972656
2020-01-17,76.97753143310547,158.95526123046875,34.03333282470703,71.64305114746094,96.62557983398438,117.99684143066406,8929.0380859375,170.7799530029297
2020-01-21,76.45586395263672,158.384521484375,36.47999954223633,71.82138061523438,96.89910125732422,119.23643493652344,8745.89453125,169.69715881347656
2020-01-22,76.7287826538086,157.6234893798828,37.97066879272461,71.88082122802734,96.95036315917969,119.65540313720703,8680.8759765625,168.29415893554688
2020-01-23,77.0982894897461,158.59384155273438,38.14666748046875,72.00823974609375,97.07856750488281,120.49320983886719,8406.515625,162.92855834960938
2020-01-24,76.8760757446289,156.9956817626953,37.654666900634766,72.11870574951172,97.25807189941406,121.46781921386719,8445.4345703125,163.05117797851562
2020-01-27,74.61553955078125,154.37022399902344,37.201332092285156,72.35646057128906,97.55723571777344,123.35720825195312,8909.8193359375,170.93089294433594
2020-01-28,76.72634887695312,157.39523315429688,37.793331146240234,72.22908782958984,97.47178649902344,122.3910903930664,9358.58984375,176.3703155517578
2020-01-29,78.33240509033203,159.8494415283203,38.732666015625,72.43292999267578,97.6939697265625,123.5880126953125,9316.6298828125,175.0503387451172
2020-01-30,78.21890258789062,164.3584442138672,42.72066879272461,72.44992065429688,97.7025146484375,123.60517120361328,9508.9931640625,184.6904754638672
2020-01-31,74.75077819824219,161.93267822265625,43.371334075927734,72.63678741455078,97.99315643310547,124.73359680175781,9350.529296875,180.16017150878906
2020-02-03,74.54548645019531,165.8804168701172,52.0,72.57125091552734,97.96144104003906,124.63250732421875,9293.521484375,189.8650665283203
2020-02-04,77.00652313232422,171.34063720703125,59.137332916259766,72.34996032714844,97.635986328125,122.9541015625,9180.962890625,189.25059509277344
2020-02-05,77.63444519042969,171.13140869140625,48.97999954223633,72.23078918457031,97.49036407470703,121.60964965820312,9613.423828125,204.23023986816406
2020-02-06,78.54254913330078,174.67962646484375,49.930667877197266,72.2988510131836,97.55029296875,122.15769958496094,9729.8017578125,212.33908081054688
2020-02-07,77.47493743896484,174.9269256591797,49.871334075927734,72.5201644897461,97.83292388916016,123.68201446533203,9795.943359375,222.72605895996094
2020-02-10,77.84290313720703,179.50245666503906,51.41866683959961,72.63084411621094,97.94429016113281,124.02455139160156,9856.611328125,223.522705078125
2020-02-11,77.37323760986328,175.4501190185547,51.62533187866211,72.51162719726562,97.82439422607422,123.3994369506836,10208.236328125,235.8511962890625
2020-02-12,79.21068572998047,175.70692443847656,51.15266799926758,72.42652893066406,97.72157287597656,122.7742919921875,10326.0546875,265.4061279296875
2020-02-13,78.64661407470703,174.7556610107422,53.599998474121094,72.49463653564453,97.79010772705078,123.24527740478516,10214.3798828125,268.0992431640625
2020-02-14,78.66600036621094,176.31573486328125,53.33533477783203,72.57125091552734,97.89289855957031,123.7848129272461,10312.1162109375,284.2174987792969
2020-02-18,77.22559356689453,178.10409545898438,57.22666549682617,72.68190002441406,98.02140045166016,124.63250732421875,10141.99609375,281.944580078125
2020-02-19,78.3440170288086,178.63832092285156,61.16133117675781,72.67340087890625,97.99568176269531,124.62394714355469,9633.38671875,259.76397705078125
2020-02-20,77.54029083251953,175.91026306152344,59.96066665649414,72.85210418701172,98.21839904785156,125.60026550292969,9608.4755859375,257.949462890625
2020-02-21,75.78517150878906,170.34927368164062,60.06666564941406,73.03087615966797,98.41539764404297,126.77339935302734,9686.44140625,265.6006164550781
2020-02-24,72.18534088134766,163.00457763671875,55.58599853515625,73.26068115234375,98.73231506347656,128.6659393310547,9650.1748046875,265.2164306640625
2020-02-25,69.74026489257812,160.31466674804688,53.32733154296875,73.32029724121094,98.9035873413086,129.35101318359375,9341.705078125,247.81759643554688
2020-02-26,70.84661102294922,162.31781005859375,51.91999816894531,73.27771759033203,98.80081176757812,128.6659393310547,8820.5224609375,225.68026733398438
2020-02-27,66.21549224853516,150.88107299804688,45.266666412353516,73.36285400390625,98.81793975830078,130.06179809570312,8784.494140625,226.75338745117188
